,Room,EF
0,7601,2153.0
1,7602,3624.0
2,7603,1417.5
3,7604,1417.5
4,7606,2888.5
5,7607,1417.5
6,7608,1417.5
7,7609,3624.0
8,7611,2153.0
9,9009,322.0
10,9015,322.0
11,9018,322.0
12,9019,322.0
13,9020,322.0
14,9021,322.0
15,9023,322.0
16,9103,322.0
17,9104,322.0
18,9123,322.0
19,9125,322.0
20,9127,322.0
21,9131,322.0
22,9132,322.0
23,9133,322.0
24,9135,322.0
25,9136,322.0
26,9138,322.0
27,9223,322.0
28,9231,322.0
29,9232,322.0
30,9302,1793.0
31,9306,1793.0
32,9308,1793.0
33,9314,1793.0
34,9402,1793.0
35,9404,1793.0
36,9405,1793.0
37,9406,1793.0
38,BSc A,1793.0
39,Labdas,61340.0
40,Lecture I,2153.0
41,Lecture II,2153.0
42,Lecture III,2153.0
43,Multimedia,2888.5
44,Multipurpose,1793.0
45,R. Seminar 1,1057.5
46,R. Seminar 2,1057.5
47,Sabuga 9602,322.0
48,Sabuga 9604,322.0
49,TVST A,1793.0
50,TVST B,1793.0
51,TVST C,322.0
